"","sID","trial","trial_ix","A_strength","B_strength","C_strength","A_choice","B_choice","C_choice","trees","fish"
"439",12,21,"17","???","???","???","fish","???","fish","3 trees","???"
"440",12,22,"5","???","???","???","???","???","???","3 trees","???"
"441",12,23,"20","???","???","3","???","???","???","???","???"
"442",12,24,"att2","???","???","???","???","???","???","???","0"
"443",12,25,"27","???","???","???","???","trees","???","???","???"
"444",12,26,"8","???","???","1","???","???","???","???","???"
"445",12,27,"34","???","???","2","???","???","???","???","???"
"446",12,28,"7","???","2","???","???","???","???","???","???"
"447",12,29,"16","???","???","???","???","???","trees","???","???"
"448",12,30,"25","???","???","???","???","trees","???","???","???"
"449",12,31,"0","???","???","???","???","???","???","1 tree","???"
"450",12,32,"23","???","???","???","???","???","???","3 trees","???"
"451",12,33,"29","???","???","???","fish","???","trees","???","???"
"452",12,34,"22","???","???","???","???","???","???","3 trees","???"
"453",12,35,"6","1","???","???","???","???","???","???","???"
"454",12,36,"14","???","???","???","???","???","fish","???","???"
"455",12,37,"35","???","???","???","trees","???","???","???","???"
"456",12,38,"4","???","???","???","???","???","???","1 tree","???"
"457",13,1,"26","???","???","???","fish","???","???","???","???"
"458",13,2,"2","???","???","???","???","???","???","1 tree","???"
"459",13,3,"11","???","???","???","trees","???","???","???","???"
"460",13,4,"21","???","???","???","fish","fish","???","???","???"
"461",13,5,"24","???","???","???","???","???","???","1 tree","???"
"462",13,6,"16","???","???","???","???","???","fish","???","???"
"463",13,7,"30","???","???","???","fish","trees","???","???","???"
"464",13,8,"25","???","???","???","???","trees","???","???","???"
"465",13,9,"1","???","???","???","???","???","???","1 tree","???"
"466",13,10,"9","???","2","???","???","???","???","???","???"
"467",13,11,"18","2","2","???","???","???","???","???","???"
"468",13,12,"att1","???","???","???","???","???","???","???","4"
"469",13,13,"20","???","???","3","???","???","???","???","???"
"470",13,14,"31","???","???","???","???","fish","fish","???","???"
"471",13,15,"4","???","???","???","???","???","???","1 tree","???"
"472",13,16,"7","???","2","???","???","???","???","???","???"
"473",13,17,"13","???","???","???","???","fish","???","???","???"
"474",13,18,"15","???","???","???","???","trees","???","???","???"
"475",13,19,"3","???","???","???","???","???","???","1 tree","???"
"476",13,20,"27","???","???","???","???","fish","???","???","???"
"477",13,21,"35","???","???","???","fish","???","???","???","???"
"478",13,22,"34","???","???","3","???","???","???","???","???"
"479",13,23,"12","???","???","???","fish","???","???","???","???"
"480",13,24,"att2","???","???","???","???","???","???","???","6"
"481",13,25,"29","???","???","???","fish","???","fish","???","???"
"482",13,26,"22","???","???","???","???","???","???","1 tree","???"
"483",13,27,"8","???","???","1","???","???","???","???","???"
"484",13,28,"17","???","???","???","fish","???","fish","1 tree","???"
"485",13,29,"23","???","???","???","???","???","???","2 trees","???"
"486",13,30,"28","???","???","???","???","trees","fish","???","???"
"487",13,31,"14","???","???","???","???","???","trees","???","???"
"488",13,32,"32","???","???","1","???","???","???","???","???"
"489",13,33,"10","???","???","1","???","???","???","???","???"
"490",13,34,"0","???","???","???","???","???","???","1 tree","???"
"491",13,35,"5","???","???","???","???","???","???","3 trees","???"
"492",13,36,"19","???","3","???","???","fish","???","???","???"
"493",13,37,"33","???","3","???","???","???","???","???","???"
"494",13,38,"6","3","???","???","???","???","???","???","???"
"495",14,1,"11","???","???","???","fish","???","???","???","???"
"496",14,2,"26","???","???","???","fish","???","???","???","???"
"497",14,3,"7","???","2","???","???","???","???","???","???"
"498",14,4,"13","???","???","???","???","fish","???","???","???"
"499",14,5,"34","???","???","3","???","???","???","???","???"
"500",14,6,"29","???","???","???","fish","???","fish","???","???"
"501",14,7,"31","???","???","???","???","trees","fish","???","???"
"502",14,8,"0","???","???","???","???","???","???","1 tree","???"
"503",14,9,"12","???","???","???","trees","???","???","???","???"
"504",14,10,"16","???","???","???","???","???","fish","???","???"
"505",14,11,"2","???","???","???","???","???","???","2 trees","???"
"506",14,12,"att1","???","???","???","???","???","???","???","5"
"507",14,13,"4","???","???","???","???","???","???","1 tree","???"
